Movie Title,Year,Score,Adjusted Score,Director,Synopsis,Cast,Consensus
Hot Rod,2007,39,42906.0,Akiva Schaffer," For Rod Kimball (Andy Samberg), performing stunts is a way of life, even though he is rather accident-prone. Poor Rod...","Andy Samberg, Jorma Taccone, Bill Hader, Danny R. McBride",
Game Night,2018,85,99839.0,John Francis Daley, Max and Annie's weekly game night gets kicked up a notch when Max's brother Brooks arranges a murder mystery party...,"Jason Bateman, Rachel McAdams, Kyle Chandler, Sharon Horgan",With a talented cast turned loose on a loaded premise -- and a sharp script loaded with dark comedy and unexpected twists --
The First Wives Club,1996,49,53174.0,Hugh Wilson," Despondent over the marriage of her ex-husband to a younger woman, a middle-aged divorcée plunges to her death from her...","Goldie Hawn, Bette Midler, Diane Keaton, Maggie Smith",
Scary Movie,2000,52,54973.0,Keenen Ivory Wayans," Defying the very notion of good taste, Scary Movie out-parodies the pop culture parodies with a no-holds barred assault on...","Shawn Wayans, Marlon Wayans, Cheri Oteri, Shannon Elizabeth",Critics say Scary Movie overloads on crudity and grossness to get its laughs.
Blockers,2018,84,96896.0,Kay Cannon," Julie, Kayla and Sam are three high school seniors who make a pact to lose their virginity on prom night....","Leslie Mann, Ike Barinholtz, John Cena, Kathryn Newton",
The Bank Dick,1940,100,102063.0,Edward F. Cline, Egbert Sousé (W.C. Fields) becomes an unexpected hero when a bank robber falls over a bench he's occupying. Now considered...,"W.C. Fields, Cora Witherspoon, Una Merkel, Evelyn Del Rio",No consensus yet.
Mrs. Doubtfire,1993,72,75059.0,Chris Columbus," Troubled that he has little access to his children, divorced Daniel Hillard (Robin Williams) hatches an elaborate plan. With help...","Robin Williams, Sally Field, Pierce Brosnan, Harvey Fierstein","On paper, Mrs. Doubtfire might seem excessively broad or sentimental, but Robin Williams shines so brightly in the title role that the end result is difficult to resist."
Pitch Perfect,2012,81,86536.0,Jason Moore," College student Beca (Anna Kendrick) knows she does not want to be part of a clique, but that's exactly where...","Anna Kendrick, Skylar Astin, Rebel Wilson, Adam DeVine","Pitch Perfect's plot is formulaic, but the performances are excellent and the musical numbers are toe-tapping as well."
Four Lions,2009,83,87269.0,Christopher Morris," A group of young Muslim men living in Sheffield decide to wage jihad, and they hatch an inept plan to...","Riz Ahmed, Arsher Ali, Nigel Lindsay, Kayvan Novak","Its premise suggests brazenly tasteless humor, but"
Safety Last,1923,97,103200.0,Fred C. Newmeyer," A boy (Harold Lloyd) moves to New York City to make enough money to support his loving girlfriend (Mildred Davis),...","Harold Lloyd, Mildred Davis, Bill Strother, Noah Young","Persuasive enough to give audiences acrophobia when they aren't laughing at Harold Lloyd's antics,"
Big,1988,97,102285.0,Penny Marshall," After a wish turns 12-year-old Josh Baskin (David Moscow) into a 30-year-old man (Tom Hanks), he heads to New York...","Tom Hanks, Elizabeth Perkins, Robert Loggia, John Heard","Refreshingly sweet and undeniably funny,"
Wet Hot American Summer,2001,37,39443.0,David Wain," Set on the last day of camp, in the hot summer of 1981, ""Wet Hot American Summer"" follows a group...","Janeane Garofalo, David Hyde Pierce, Michael Showalter, Marguerite Moreau",
Barbershop,2002,83,85976.0,Tim Story, A smart comedy about a day in the life of a barbershop on the south side of Chicago. Calvin (Ice...,"Ice Cube, Anthony Anderson, Cedric the Entertainer, Sean Patrick Thomas","Besides bringing on the laughs, Barbershop displays a big heart and demonstrates the value of community."
Dazed and Confused,1993,92,95822.0,Richard Linklater," This coming-of-age film follows the mayhem of group of rowdy teenagers in Austin, Texas, celebrating the last day of high...","Jason London, Wiley Wiggins, Sasha Jenson, Rory Cochrane","Featuring an excellent ensemble cast, a precise feel for the 1970s, and a killer soundtrack, Dazed and Confused is a funny, affectionate, and clear-eyed look at high school life."
Ace Ventura: Pet Detective,1994,49,52604.0,Tom Shadyac," When the dolphin mascot of Miami's NFL team is abducted, Ace Ventura (Jim Carrey), a zany private investigator who specializes...","Jim Carrey, Courteney Cox, Sean Young, Tone Loc","Jim Carrey's twitchy antics and gross-out humor are on full, bombastic display in"
Idiocracy,2006,73,73498.0,Mike Judge," In 2005, average in every way private Joe Bowers (Luke Wilson) is selected to take part in a secret military...","Luke Wilson, Maya Rudolph, Dax Shepard, Terry Crews","Frustratingly uneven yet enjoyable overall,"
Team America: World Police,2004,77,84016.0,Trey Parker," When North Korean ruler Kim Jong-il (Trey Parker) orchestrates a global terrorist plot, it's up to the heavily armed marionettes...","Trey Parker, Matt Stone, Kristen Miller, Masasa",Team America will either offend you or leave you in stitches. It'll probably do both.
Kissing Jessica Stein,2001,84,87739.0,Charles Herman-Wurmfeld," Jessica (Jennifer Westfeldt) is at the end of her emotional rope. She happens upon an intriguing personal ad, whose only...","Jennifer Westfeldt, Heather Juergensen, Scott Cohen, Tovah Feldshuh",A trite but refreshing and comical spin on nature of love.
Trainwreck,2015,84,95286.0,Judd Apatow," Ever since her father drilled into her head that monogamy isn't realistic, magazine writer Amy (Amy Schumer) has made promiscuity...","Amy Schumer, Bill Hader, Brie Larson, Colin Quinn",
Pee-wee's Big Adventure,1985,87,89155.0,Tim Burton," Pee-wee Herman (Paul Reubens), an eccentric child-like man, loves his red bicycle and will not sell it to his envious...","Paul Reubens, Elizabeth Daily, Mark Holton, Diane Salinger",
